GE,ME,MI
ENSG00000165682,ENSG00000152969,ENSG00000152404
ENSG00000165694,ENSG00000153140,ENSG00000152422
ENSG00000165966,ENSG00000153201,ENSG00000152475
ENSG00000166105,ENSG00000153246,ENSG00000152556
ENSG00000166111,ENSG00000153303,ENSG00000152558
ENSG00000166145,ENSG00000153404,ENSG00000152583
ENSG00000166148,ENSG00000153531,ENSG00000152595
ENSG00000166257,ENSG00000154127,ENSG00000152684
ENSG00000166391,ENSG00000154162,ENSG00000152784
ENSG00000166426,ENSG00000154316,ENSG00000152904
ENSG00000166448,ENSG00000155096,ENSG00000153130
ENSG00000166450,ENSG00000155545,ENSG00000153132
ENSG00000166482,ENSG00000155744,ENSG00000153802
ENSG00000166670,ENSG00000155846,ENSG00000154258
ENSG00000167080,ENSG00000155886,ENSG00000154269
ENSG00000167157,ENSG00000156232,ENSG00000154493
ENSG00000167183,ENSG00000156256,ENSG00000154553
ENSG00000167244,ENSG00000156414,ENSG00000154620
ENSG00000167355,ENSG00000156453,ENSG00000154646
ENSG00000167434,ENSG00000156510,ENSG00000155256
ENSG00000167608,ENSG00000156564,ENSG00000155265
ENSG00000167614,ENSG00000156925,ENSG00000155368
ENSG00000167644,ENSG00000156931,ENSG00000155660
ENSG00000167741,ENSG00000156958,ENSG00000155962
ENSG00000167749,ENSG00000156976,ENSG00000156515
ENSG00000167751,ENSG00000157111,ENSG00000156587
ENSG00000167757,ENSG00000157193,ENSG00000156738
ENSG00000167767,ENSG00000157570,ENSG00000156858
ENSG00000167769,ENSG00000157637,ENSG00000157045
ENSG00000167771,ENSG00000157680,ENSG00000157445
ENSG00000167798,ENSG00000157778,ENSG00000157884
ENSG00000167910,ENSG00000157911,ENSG00000158042
ENSG00000168032,ENSG00000158109,ENSG00000158156
ENSG00000168079,ENSG00000158321,ENSG00000158292
ENSG00000168143,ENSG00000158710,ENSG00000158402
ENSG00000168243,ENSG00000158714,ENSG00000158411
ENSG00000168427,ENSG00000159167,ENSG00000158710
ENSG00000168754,ENSG00000159842,ENSG00000158901
ENSG00000168757,ENSG00000159885,ENSG00000159131
ENSG00000168843,ENSG00000160145,ENSG00000159147
ENSG00000168907,ENSG00000160199,ENSG00000159212
