GE,ME,MI
ENSG00000143536,ENSG00000131013,ENSG00000135457
ENSG00000143556,ENSG00000131183,ENSG00000135473
ENSG00000143845,ENSG00000131188,ENSG00000135702
ENSG00000143869,ENSG00000131398,ENSG00000135829
ENSG00000143921,ENSG00000131401,ENSG00000135845
ENSG00000144218,ENSG00000131620,ENSG00000135902
ENSG00000144229,ENSG00000131650,ENSG00000135917
ENSG00000144230,ENSG00000131771,ENSG00000135924
ENSG00000144339,ENSG00000132199,ENSG00000135931
ENSG00000144407,ENSG00000132205,ENSG00000135945
ENSG00000144488,ENSG00000132259,ENSG00000135973
ENSG00000144834,ENSG00000132510,ENSG00000136003
ENSG00000144852,ENSG00000132554,ENSG00000136100
ENSG00000144891,ENSG00000132561,ENSG00000136206
ENSG00000145192,ENSG00000132692,ENSG00000136425
ENSG00000145198,ENSG00000132744,ENSG00000136487
ENSG00000145248,ENSG00000133027,ENSG00000136522
ENSG00000145384,ENSG00000133083,ENSG00000136541
ENSG00000145506,ENSG00000133250,ENSG00000136631
ENSG00000145626,ENSG00000133401,ENSG00000136636
ENSG00000145692,ENSG00000133818,ENSG00000136715
ENSG00000145721,ENSG00000133874,ENSG00000136717
ENSG00000145808,ENSG00000134014,ENSG00000136720
ENSG00000145864,ENSG00000134193,ENSG00000136878
ENSG00000145920,ENSG00000134245,ENSG00000136895
ENSG00000146013,ENSG00000134278,ENSG00000136950
ENSG00000146038,ENSG00000134294,ENSG00000137074
ENSG00000146039,ENSG00000134317,ENSG00000137106
ENSG00000146049,ENSG00000134318,ENSG00000137161
ENSG00000146090,ENSG00000134419,ENSG00000137225
ENSG00000146151,ENSG00000134453,ENSG00000137261
ENSG00000146166,ENSG00000134516,ENSG00000137275
ENSG00000146215,ENSG00000134962,ENSG00000137440
ENSG00000146276,ENSG00000135083,ENSG00000137496
ENSG00000146352,ENSG00000135845,ENSG00000137513
ENSG00000146469,ENSG00000135899,ENSG00000137674
ENSG00000146477,ENSG00000135929,ENSG00000137804
ENSG00000146530,ENSG00000136014,ENSG00000137831
ENSG00000146678,ENSG00000136059,ENSG00000137834
ENSG00000146755,ENSG00000136206,ENSG00000137947
ENSG00000147206,ENSG00000136213,ENSG00000137948
ENSG00000147246,ENSG00000136231,ENSG00000137975
ENSG00000147255,ENSG00000136247,ENSG00000138030
